subscription_id,user_id,churn_date,churn_reason,mrr
50547,10547,2024-08-30,Switched to direct competitor,15.0
50548,10548,2023-05-02,Price is too high / Budget cuts,15.0
50550,10550,2024-03-13,Price is too high / Budget cuts,15.0
50553,10553,2025-01-02,Underutilization / poor feature onboarding,99.0
50555,10555,2025-01-25,Price is too high / Budget cuts,15.0
50557,10557,2024-09-21,Switched to direct competitor,15.0
50561,10561,2025-07-27,Switched to direct competitor,15.0
50563,10563,2024-03-28,Switched to direct competitor,15.0
50565,10565,2025-03-27,Underutilization / poor feature onboarding,15.0
50567,10567,2025-01-26,Price is too high / Budget cuts,15.0
50568,10568,2025-12-22,Switched to direct competitor,499.0
50571,10571,2024-12-17,Missing features or platform limitations,15.0
50574,10574,2025-08-21,Missing features or platform limitations,15.0
50575,10575,2025-04-24,Underutilization / poor feature onboarding,15.0
50579,10579,2024-12-16,Technical support backlog / unresolved SLA,99.0
50580,10580,2024-09-12,Missing features or platform limitations,99.0
50583,10583,2026-01-01,Underutilization / poor feature onboarding,15.0
50586,10586,2024-06-13,Missing features or platform limitations,15.0
50589,10589,2024-05-28,Price is too high / Budget cuts,15.0
50592,10592,2025-11-19,Price is too high / Budget cuts,15.0
50594,10594,2023-07-09,Switched to direct competitor,15.0
50595,10595,2025-06-11,Missing features or platform limitations,15.0
50599,10599,2025-04-02,Technical support backlog / unresolved SLA,15.0
50602,10602,2023-09-18,Technical support backlog / unresolved SLA,15.0
50603,10603,2023-07-07,Switched to direct competitor,15.0
50604,10604,2023-04-29,Switched to direct competitor,15.0
50605,10605,2025-12-08,Switched to direct competitor,99.0
50606,10606,2025-07-28,Price is too high / Budget cuts,15.0
50607,10607,2022-11-09,Price is too high / Budget cuts,15.0
50608,10608,2025-03-22,Price is too high / Budget cuts,15.0
50609,10609,2025-12-01,Price is too high / Budget cuts,15.0
50610,10610,2024-06-10,Price is too high / Budget cuts,15.0
50611,10611,2023-12-02,Price is too high / Budget cuts,15.0
50612,10612,2025-08-17,Switched to direct competitor,15.0
50614,10614,2025-02-27,Missing features or platform limitations,15.0
50617,10617,2025-02-21,Price is too high / Budget cuts,15.0
50618,10618,2024-10-11,Price is too high / Budget cuts,15.0
50623,10623,2025-01-01,Missing features or platform limitations,99.0
50627,10627,2023-11-25,Price is too high / Budget cuts,15.0
50630,10630,2022-06-30,Underutilization / poor feature onboarding,99.0
50631,10631,2024-05-07,Price is too high / Budget cuts,15.0
50632,10632,2024-08-10,Underutilization / poor feature onboarding,15.0
50634,10634,2024-08-07,Price is too high / Budget cuts,15.0
50635,10635,2023-04-24,Missing features or platform limitations,15.0
50638,10638,2024-11-10,Switched to direct competitor,15.0
50639,10639,2025-07-12,Technical support backlog / unresolved SLA,499.0
50642,10642,2024-06-22,Price is too high / Budget cuts,15.0
50646,10646,2023-04-28,Switched to direct competitor,15.0
50647,10647,2025-12-23,Underutilization / poor feature onboarding,15.0
50648,10648,2025-07-08,Switched to direct competitor,15.0
50651,10651,2025-05-21,Price is too high / Budget cuts,15.0
50652,10652,2024-01-03,Switched to direct competitor,15.0
50656,10656,2025-12-10,Underutilization / poor feature onboarding,15.0
50660,10660,2025-03-12,Price is too high / Budget cuts,15.0
50663,10663,2024-06-09,Price is too high / Budget cuts,15.0
50666,10666,2025-08-01,Price is too high / Budget cuts,99.0
50670,10670,2023-07-09,Switched to direct competitor,15.0
50671,10671,2025-04-02,Technical support backlog / unresolved SLA,99.0
50675,10675,2024-11-09,Underutilization / poor feature onboarding,15.0
50676,10676,2023-06-26,Technical support backlog / unresolved SLA,15.0
50677,10677,2024-08-19,Underutilization / poor feature onboarding,15.0
50680,10680,2024-04-01,Underutilization / poor feature onboarding,15.0
50681,10681,2024-11-22,Switched to direct competitor,15.0
50687,10687,2023-09-22,Missing features or platform limitations,99.0
50689,10689,2025-12-10,Price is too high / Budget cuts,15.0
50693,10693,2025-12-14,Underutilization / poor feature onboarding,99.0
50694,10694,2025-12-23,Technical support backlog / unresolved SLA,15.0
50695,10695,2025-12-21,Price is too high / Budget cuts,15.0
50697,10697,2025-04-08,Underutilization / poor feature onboarding,15.0
50699,10699,2024-10-21,Missing features or platform limitations,99.0
50703,10703,2025-04-11,Price is too high / Budget cuts,15.0
50704,10704,2025-04-23,Price is too high / Budget cuts,15.0
50705,10705,2025-12-13,Technical support backlog / unresolved SLA,15.0
50708,10708,2025-03-07,Price is too high / Budget cuts,99.0
50710,10710,2023-04-26,Price is too high / Budget cuts,15.0
50711,10711,2024-03-09,Price is too high / Budget cuts,15.0
50712,10712,2023-06-07,Switched to direct competitor,15.0
50713,10713,2025-12-23,Technical support backlog / unresolved SLA,15.0
50714,10714,2023-08-21,Switched to direct competitor,15.0
50715,10715,2025-06-30,Missing features or platform limitations,15.0
50716,10716,2023-11-25,Price is too high / Budget cuts,15.0
50718,10718,2025-12-26,Underutilization / poor feature onboarding,99.0
50719,10719,2025-12-08,Price is too high / Budget cuts,15.0
50720,10720,2025-10-22,Underutilization / poor feature onboarding,15.0
50722,10722,2025-11-14,Price is too high / Budget cuts,15.0
50723,10723,2025-12-04,Underutilization / poor feature onboarding,15.0
50724,10724,2025-09-12,Technical support backlog / unresolved SLA,499.0
50726,10726,2025-12-31,Underutilization / poor feature onboarding,99.0
50729,10729,2025-05-02,Missing features or platform limitations,499.0
50731,10731,2023-03-03,Missing features or platform limitations,15.0
50734,10734,2023-12-22,Technical support backlog / unresolved SLA,99.0
50736,10736,2025-12-18,Missing features or platform limitations,15.0
50737,10737,2024-02-21,Underutilization / poor feature onboarding,99.0
50739,10739,2025-12-08,Missing features or platform limitations,15.0
50748,10748,2023-12-10,Switched to direct competitor,99.0
50750,10750,2024-09-18,Underutilization / poor feature onboarding,15.0
50751,10751,2025-04-10,Technical support backlog / unresolved SLA,15.0
50753,10753,2025-12-05,Underutilization / poor feature onboarding,15.0
50754,10754,2024-12-12,Switched to direct competitor,15.0
50755,10755,2024-08-29,Price is too high / Budget cuts,15.0
50757,10757,2023-04-24,Underutilization / poor feature onboarding,15.0
50760,10760,2023-05-24,Price is too high / Budget cuts,15.0
50761,10761,2024-10-20,Switched to direct competitor,15.0
50765,10765,2024-02-12,Technical support backlog / unresolved SLA,15.0
50767,10767,2024-12-23,Underutilization / poor feature onboarding,15.0
50770,10770,2024-08-19,Price is too high / Budget cuts,15.0
50771,10771,2025-12-21,Price is too high / Budget cuts,499.0
50779,10779,2024-08-01,Technical support backlog / unresolved SLA,15.0
50783,10783,2025-03-09,Price is too high / Budget cuts,15.0
50786,10786,2025-12-14,Price is too high / Budget cuts,15.0
50794,10794,2025-04-08,Switched to direct competitor,15.0
50797,10797,2025-12-06,Technical support backlog / unresolved SLA,99.0
50800,10800,2023-08-07,Price is too high / Budget cuts,15.0
50801,10801,2025-12-03,Price is too high / Budget cuts,15.0
50803,10803,2025-12-03,Technical support backlog / unresolved SLA,99.0
50804,10804,2024-09-30,Switched to direct competitor,499.0
50806,10806,2023-12-05,Switched to direct competitor,99.0
50807,10807,2024-08-07,Price is too high / Budget cuts,15.0
50811,10811,2025-12-08,Missing features or platform limitations,99.0
50814,10814,2025-12-20,Underutilization / poor feature onboarding,15.0
50816,10816,2025-04-06,Missing features or platform limitations,99.0
50820,10820,2024-05-02,Underutilization / poor feature onboarding,15.0
50821,10821,2024-03-29,Missing features or platform limitations,99.0
50824,10824,2023-10-18,Switched to direct competitor,499.0
50826,10826,2023-09-25,Switched to direct competitor,99.0
50828,10828,2025-02-18,Price is too high / Budget cuts,15.0
50829,10829,2024-10-30,Price is too high / Budget cuts,15.0
50834,10834,2024-07-12,Price is too high / Budget cuts,15.0
50837,10837,2025-03-14,Price is too high / Budget cuts,15.0
50840,10840,2024-04-15,Technical support backlog / unresolved SLA,15.0
50841,10841,2025-09-09,Technical support backlog / unresolved SLA,15.0
50842,10842,2025-06-09,Missing features or platform limitations,15.0
50843,10843,2024-12-09,Missing features or platform limitations,15.0
50844,10844,2024-12-13,Switched to direct competitor,99.0
50846,10846,2025-08-11,Missing features or platform limitations,15.0
50848,10848,2025-12-31,Switched to direct competitor,15.0
50849,10849,2023-05-18,Price is too high / Budget cuts,99.0
50854,10854,2024-03-27,Switched to direct competitor,15.0
50858,10858,2023-04-12,Price is too high / Budget cuts,99.0
50861,10861,2024-05-02,Technical support backlog / unresolved SLA,15.0
50862,10862,2024-12-24,Switched to direct competitor,99.0
50864,10864,2025-07-22,Missing features or platform limitations,15.0
50868,10868,2025-07-17,Price is too high / Budget cuts,15.0
50870,10870,2025-12-29,Price is too high / Budget cuts,15.0
50871,10871,2025-03-29,Underutilization / poor feature onboarding,15.0
50873,10873,2025-05-14,Underutilization / poor feature onboarding,99.0
50875,10875,2025-10-13,Underutilization / poor feature onboarding,15.0
50878,10878,2024-04-27,Underutilization / poor feature onboarding,15.0
50879,10879,2025-03-07,Price is too high / Budget cuts,15.0
50881,10881,2025-11-12,Missing features or platform limitations,15.0
50882,10882,2025-09-22,Technical support backlog / unresolved SLA,15.0
50884,10884,2024-05-20,Price is too high / Budget cuts,15.0
50888,10888,2025-02-02,Price is too high / Budget cuts,99.0
50889,10889,2025-08-31,Switched to direct competitor,99.0
50890,10890,2025-04-29,Underutilization / poor feature onboarding,99.0
50893,10893,2024-07-08,Switched to direct competitor,15.0
50895,10895,2024-08-17,Underutilization / poor feature onboarding,15.0
50896,10896,2025-11-27,Price is too high / Budget cuts,15.0
50897,10897,2025-12-06,Switched to direct competitor,15.0
50898,10898,2025-12-28,Technical support backlog / unresolved SLA,15.0
50899,10899,2024-11-20,Price is too high / Budget cuts,15.0
50901,10901,2024-12-27,Price is too high / Budget cuts,15.0
50903,10903,2025-10-18,Price is too high / Budget cuts,15.0
50905,10905,2025-06-21,Switched to direct competitor,499.0
50906,10906,2024-09-10,Price is too high / Budget cuts,99.0
50908,10908,2025-09-22,Technical support backlog / unresolved SLA,15.0
50909,10909,2025-05-14,Price is too high / Budget cuts,99.0
50914,10914,2025-12-26,Underutilization / poor feature onboarding,15.0
50915,10915,2023-12-04,Switched to direct competitor,99.0
50919,10919,2024-01-09,Price is too high / Budget cuts,15.0
50922,10922,2025-01-13,Switched to direct competitor,499.0
50923,10923,2025-10-10,Price is too high / Budget cuts,15.0
50927,10927,2024-08-31,Price is too high / Budget cuts,99.0
50930,10930,2024-10-13,Price is too high / Budget cuts,15.0
50932,10932,2025-12-08,Price is too high / Budget cuts,99.0
50935,10935,2024-09-06,Underutilization / poor feature onboarding,15.0
50940,10940,2024-02-21,Price is too high / Budget cuts,15.0
50942,10942,2024-10-26,Price is too high / Budget cuts,15.0
50943,10943,2024-07-12,Underutilization / poor feature onboarding,15.0
50946,10946,2025-02-06,Switched to direct competitor,15.0
50948,10948,2025-04-05,Underutilization / poor feature onboarding,15.0
50949,10949,2025-07-29,Price is too high / Budget cuts,15.0
50950,10950,2025-03-12,Price is too high / Budget cuts,15.0
50951,10951,2025-01-23,Switched to direct competitor,99.0
50952,10952,2025-12-26,Missing features or platform limitations,499.0
50953,10953,2024-06-15,Switched to direct competitor,15.0
50954,10954,2023-12-02,Price is too high / Budget cuts,15.0
50956,10956,2025-09-04,Underutilization / poor feature onboarding,15.0
50958,10958,2025-04-27,Price is too high / Budget cuts,15.0
50959,10959,2024-11-12,Missing features or platform limitations,99.0
50967,10967,2025-12-31,Underutilization / poor feature onboarding,15.0
50969,10969,2024-11-24,Underutilization / poor feature onboarding,99.0
50970,10970,2026-01-01,Underutilization / poor feature onboarding,15.0
50971,10971,2024-05-27,Price is too high / Budget cuts,15.0
50972,10972,2024-12-08,Underutilization / poor feature onboarding,15.0
50974,10974,2023-10-10,Missing features or platform limitations,15.0
50978,10978,2025-06-01,Underutilization / poor feature onboarding,15.0
50980,10980,2025-03-28,Underutilization / poor feature onboarding,99.0
50981,10981,2024-09-18,Price is too high / Budget cuts,15.0
50982,10982,2024-12-13,Underutilization / poor feature onboarding,99.0
50985,10985,2023-05-01,Price is too high / Budget cuts,15.0
50987,10987,2023-05-26,Price is too high / Budget cuts,15.0
50990,10990,2023-06-05,Switched to direct competitor,15.0
50992,10992,2025-11-26,Switched to direct competitor,99.0
50994,10994,2025-12-23,Underutilization / poor feature onboarding,99.0
50997,10997,2024-05-02,Price is too high / Budget cuts,15.0
50998,10998,2024-04-02,Price is too high / Budget cuts,15.0
50999,10999,2025-12-22,Missing features or platform limitations,99.0
51002,11002,2025-04-02,Switched to direct competitor,15.0
51004,11004,2023-10-08,Price is too high / Budget cuts,15.0
51006,11006,2023-04-17,Underutilization / poor feature onboarding,15.0
51009,11009,2024-03-20,Underutilization / poor feature onboarding,15.0
51014,11014,2023-12-07,Price is too high / Budget cuts,99.0
51015,11015,2025-04-13,Missing features or platform limitations,99.0
51016,11016,2024-04-26,Price is too high / Budget cuts,15.0
51017,11017,2025-06-07,Switched to direct competitor,15.0
51019,11019,2023-12-30,Missing features or platform limitations,15.0
51021,11021,2024-02-27,Switched to direct competitor,15.0
51025,11025,2025-02-21,Price is too high / Budget cuts,15.0
51028,11028,2024-06-27,Price is too high / Budget cuts,15.0
